,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
0,10754147,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34144442,-118654084,85768.0,,,,,,010D,269,,60378002.041,37688.0,3101,,96337.0,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
1,10759547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34140430,-118625364,4083.0,,,,,,0109,261,LCA11*,60378001.011,37688.0,3101,,96337.0,0.0,,,,,,,,,,,27516.0,2015,27516.0,,,,
2,10843547,,,,0.0,0.0,,,,,,73026.0,,,73026.0,,,6037,,,,,,,33989359,-118394633,63085.0,,,,,,1200,47,LAC2,60377030.012,51617.0,3101,,96095.0,0.0,,,,2.0,,,,,,650756.0,1413387.0,2015,762631.0,20800.37,,,
3,10859147,,,,0.0,0.0,3.0,7.0,,,,5068.0,,,5068.0,,,6037,,,,,,,34148863,-118437206,7521.0,,,,,,1200,47,LAC2,60371412.023,12447.0,3101,27080.0,96424.0,0.0,,,,,,,1948.0,1.0,,571346.0,1156834.0,2015,585488.0,14557.57,,,
4,10879947,,,,0.0,0.0,4.0,,,,,1776.0,,,1776.0,,,6037,,,,,,,34194168,-118385816,8512.0,,,,,,1210,31,LAM1,60371232.052,12447.0,3101,46795.0,96450.0,0.0,,,,1.0,,,1947.0,,,193796.0,433491.0,2015,239695.0,5725.17,,,
5,10898347,,,,0.0,0.0,4.0,7.0,,,,2400.0,,,2400.0,,,6037,,,,,,,34171873,-118380906,2500.0,,,,,,1210,31,LAC4,60371252.001,12447.0,3101,46795.0,96446.0,0.0,,,,,,,1943.0,1.0,,176383.0,283315.0,2015,106932.0,3661.28,,,
6,10933547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34131929,-118351474,,,,,,,010V,260,LAC2,60371437.001,12447.0,3101,274049.0,96049.0,0.0,,,,,,,,,,397945.0,554573.0,2015,156628.0,6773.34,,,
7,10940747,,,,0.0,0.0,,,,,,3611.0,,,3611.0,,,6037,,,,,,,34171345,-118314900,5333.0,,,,,,1210,31,BUC4YY,60373108.003,396054.0,3101,,96434.0,0.0,,,,,,,1946.0,1.0,,101998.0,688486.0,2015,586488.0,7857.84,,,
8,10954547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34218210,-118331311,145865.0,,,,,,010D,269,BUR1*,60373101.003,396054.0,3101,,96436.0,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
9,10976347,,,,0.0,0.0,3.0,7.0,,,,3754.0,,,3754.0,,,6037,,,,,,,34289776,-118432085,7494.0,,,,,,1210,31,SFC2*,60373202.023,47547.0,3101,,96366.0,0.0,,,,,,,1978.0,1.0,,218440.0,261201.0,2015,42761.0,4054.76,,,
10,11073947,,,,0.0,0.0,4.0,,,,,2470.0,,,2470.0,,,6037,,,,,,,34265214,-118520217,3423.0,,,,,,1200,47,LAC2,60371112.022,12447.0,3101,31817.0,96370.0,0.0,,,,,,,1958.0,1.0,,245834.0,430208.0,2015,184374.0,6014.18,,,
11,11114347,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34447747,-118565056,81293.0,,,,,,010D,269,SCUR3,60379201.081,,3101,,96377.0,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
12,11116947,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34465048,-118568166,6286.0,,,,,,010D,269,LCA25*,60379201.071,,3101,,96377.0,0.0,,,,,,,,,,,171200.0,2015,171200.0,4690.68,,,
13,11142747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34416889,-118505805,,,,,,,300V,266,SCBP,60379203.142,54311.0,3101,37739.0,96373.0,0.0,,,,,,,,,,,4265.0,2015,4265.0,,,,
14,11193347,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34585014,-118162010,11975.0,,,,,,0100,261,PDA1*,60379104.011,40227.0,3101,,97329.0,0.0,,,,,,,,,,,10.0,2015,10.0,,,,
15,11215747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34563376,-118019104,9403.0,,,,,,0100,261,PDA21*,60379107.051,40227.0,3101,,97330.0,0.0,,,,,,,,,,,10.0,2015,10.0,,,,
16,11229347,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34526913,-118050581,3817.0,,,,,,0100,261,LCA21*,60379107.0911,40227.0,3101,,97330.0,0.0,,,,,,,,,,,2077.0,2015,2077.0,174.21,,,
17,11287347,,,,0.0,0.0,4.0,7.0,,,,2760.0,,,2760.0,,,6037,,,,,,,34690736,-118135225,8856.0,,,,,,1210,31,LRC3*,60379008.061,5534.0,3101,,97317.0,0.0,,,,,,,1949.0,,,32654.0,62424.0,2015,29770.0,2330.24,,,
18,11288547,,,,0.0,0.0,,7.0,,,,4000.0,4000.0,,,,,6037,,,,,,,34733960,-118139298,46526.0,,,,,,300V,260,LCM*,60379003.0011,5534.0,3101,,97318.0,0.0,,,,,,,1956.0,,,56736.0,102385.0,2015,45649.0,4162.56,,,
19,11324547,1.0,,,2.0,4.0,,4.0,2.0,,,3633.0,3633.0,,,,,6037,,2.0,,,,2.0,34560018,-118169806,9826.0,,,,,,0100,261,LCA22,60379102.0611,40227.0,3101,,97329.0,0.0,,,,1.0,,,2005.0,,,218982.0,291973.0,2015,72991.0,6941.39,,,
20,11391347,,,,0.0,0.0,3.0,7.0,,,,4053.0,,,4053.0,,,6037,,,,,,,33986910,-118329553,8050.0,,,,,,1210,31,LAC2,60372347.003,12447.0,3101,115729.0,96024.0,0.0,,,,1.0,,,1957.0,,,197599.0,503752.0,2015,306153.0,6840.34,,,
21,11395747,,,,0.0,0.0,4.0,7.0,,,,1442.0,,,1442.0,,,6037,,,,,,,33960238,-118319986,2904.0,,,,,,1210,31,INC2*,60376008.012,45888.0,3101,,96137.0,0.0,,,,1.0,,,,1.0,,35876.0,49928.0,2015,14052.0,1522.08,,,
22,11404347,,,,0.0,0.0,4.0,7.0,,,,1936.0,,,1936.0,,,6037,,,,,,,33959896,-118350438,1821.0,,,,,,1210,31,INC1*,60376010.012,45888.0,3101,,96133.0,0.0,,,,,,,1939.0,1.0,,69879.0,231720.0,2015,161841.0,3703.54,Y,13.0,
23,11405747,,,,0.0,0.0,4.0,7.0,,,,1606.0,,,1606.0,,,6037,,,,,,7.0,33952952,-118361711,5231.0,,,,,,1210,31,INC2YY,60376014.021,45888.0,3101,,96133.0,0.0,,,,1.0,,,1926.0,1.0,,41917.0,181667.0,2015,139750.0,2992.02,,,
24,11417147,,,,0.0,0.0,4.0,7.0,,,,2820.0,,,2820.0,,,6037,,,,,,,33931500,-118352104,5934.0,,,,,,1210,31,HAC2YY,60376021.031,45888.0,3101,,96136.0,0.0,,,,2.0,,,1938.0,1.0,,44959.0,133717.0,2015,88758.0,2797.7,,,
25,11457547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,33961232,-118385376,500.0,,,,,,0100,261,LAR2,60372760.003,12447.0,3101,7877.0,96026.0,0.0,,,,,,,,,,,124.0,2015,124.0,,,,
26,11488147,,,,4.0,5.0,,4.0,4.0,,,2865.0,,,2865.0,,,6037,,4.0,,,,,33879216,-118361434,4990.0,,,,,,0200,246,RBR-3,60376205.211,33612.0,3101,,96124.0,0.0,,,,2.0,,,1972.0,,,267623.0,818739.0,2015,551116.0,10455.41,,,
27,11520747,,,,0.0,0.0,4.0,7.0,,,,6790.0,,,6790.0,,,6037,,,,,,,34016768,-118408671,10437.0,,,,,,1200,47,CCR4*,60377028.013,51617.0,3101,762191.0,96097.0,0.0,,,,,,,1955.0,1.0,,204800.0,786584.0,2015,581784.0,11304.81,,,
28,11524947,1.0,,,2.0,2.0,,4.0,2.0,,,1090.0,1090.0,,,,,6037,,2.0,,,,2.0,33974100,-118423000,40247.0,,,,,,010C,266,LAC2(PV),60372756.021,12447.0,3101,13327.0,96072.0,0.0,,,,1.0,,,2004.0,,,229399.0,352198.0,2015,122799.0,6165.36,,,
29,11544747,1.0,,,4.0,3.0,,10.0,4.0,,,1620.0,1620.0,,,,,6037,,4.0,,,,2.0,33996200,-118438000,,,,,,,0100,261,LAR3,60372722.021,12447.0,3101,116415.0,96047.0,0.0,,,,1.0,,,2011.0,,,334432.0,835036.0,2015,500604.0,10244.94,,,
30,11579347,,,,0.0,0.0,4.0,4.0,,,,3170.0,,,3170.0,,,6037,,,,,,,34047254,-118490143,5010.0,,,,,,1210,31,SMC2*,60377012.011,12447.0,3101,113910.0,96149.0,0.0,,,,,,,1955.0,1.0,,309226.0,528621.0,2015,219395.0,6905.7,,,
31,11585547,,,,2.0,3.0,,4.0,2.0,,,2077.0,2077.0,,,,,6037,,2.0,,,,2.0,34012977,-118479243,6490.0,,,,,,0100,261,SMR2*,60377022.014,26964.0,3101,,96152.0,0.0,,,,1.0,,,1926.0,,,207035.0,637046.0,2015,430011.0,7924.68,,,
32,11588747,,,,3.0,3.0,,7.0,3.0,,,2019.0,,,2019.0,,,6037,,3.0,,,,,34003621,-118477513,6763.0,,,,,,0300,247,SMOP2*,60377021.027,26964.0,3101,117023.0,96152.0,0.0,,,,3.0,,,,,,445000.0,1410000.0,2015,965000.0,17034.34,,,
33,11592147,,,,0.0,0.0,3.0,,,,,28667.0,,,28667.0,,,6037,,,,,,,34021478,-118495171,,,,,,,1204,47,SMC3,60377014.024,26964.0,3101,761543.0,96148.0,0.0,,,,,,,1958.0,,,13115017.0,25410345.0,2015,12295328.0,333480.7,,,
34,11609547,,,,0.0,0.0,3.0,7.0,,,,5610.0,,,5610.0,,,6037,,,,,,,34043579,-118420247,5500.0,,,,,,1210,31,LAC2,60372693.005,12447.0,3101,403142.0,96045.0,0.0,,,,1.0,,,1929.0,,,33019.0,236380.0,2015,203361.0,3436.86,,,
35,11617547,1.0,,,3.0,2.0,,,3.0,,,2735.0,2735.0,,,,,6037,,3.0,,,,2.0,34059700,-118439000,,,,,,,010C,266,LAR5,60372656.022,12447.0,3101,118920.0,96005.0,0.0,,,,1.0,,,2010.0,,,746203.0,2878212.0,2015,2132009.0,34982.17,,,
36,11660547,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34061789,-118490569,,,,,,,0109,261,LARA,60372623.033,12447.0,3101,113910.0,96030.0,0.0,,,,,,,,,,229921.0,6629148.0,2015,6399227.0,80348.13,,,
37,11681747,,,,0.0,0.0,,,,,,,,,,,,6037,,,,,,,34078805,-118685815,2902.0,,,,,,010V,261,LCA11*,60378001.0231,,3101,,96337.0,0.0,,,,,,,,,,,15299.0,2015,15299.0,248.89,,,
38,11698747,,,,0.0,0.0,4.0,7.0,,,,18629.0,,,18629.0,,,6037,,,,,,,33989166,-118352009,17015.0,,,,,,1200,47,LCC2YY,60377031.003,12447.0,3101,115729.0,96024.0,0.0,,,,,,,1949.0,,,581388.0,1295374.0,2015,713986.0,19040.15,,,
